source,label,frame,length
3D,19点モデル(拡張後),39,1.68118081561282
3D,19点モデル(拡張後),40,1.7190628215200747
3D,19点モデル(拡張後),41,1.7227211892061087
3D,19点モデル(拡張後),42,1.730092213996584
3D,19点モデル(拡張後),43,1.8898586505800494
3D,19点モデル(拡張後),44,2.1098040505763094
3D,19点モデル(拡張後),45,2.36998126982096
3D,19点モデル(拡張後),46,2.404425804322049
3D,19点モデル(拡張後),47,2.3794189284998826
3D,19点モデル(拡張後),48,2.326151120708552
3D,19点モデル(拡張後),49,2.4684956538454004
3D,19点モデル(拡張後),50,2.420905536828586
3D,19点モデル(拡張後),51,2.2668094952166453
3D,19点モデル(拡張後),52,2.3891192280592257
3D,19点モデル(拡張後),53,2.4060558792777815
3D,19点モデル(拡張後),54,2.3112031496194625
3D,19点モデル(拡張後),55,2.348172828291277
3D,19点モデル(拡張後),56,2.522575401037813
3D,19点モデル(拡張後),57,2.547008369541189
3D,19点モデル(拡張後),58,2.624693137633132
3D,19点モデル(拡張後),59,2.4168621775693087
3D,19点モデル(拡張後),60,2.344578381228433
3D,19点モデル(拡張後),61,2.3226383010599134
3D,19点モデル(拡張後),62,2.182373451058612
3D,19点モデル(拡張後),63,2.2877986732230715
3D,19点モデル(拡張後),64,2.3199553908055788
3D,19点モデル(拡張後),65,2.236018462290503
3D,19点モデル(拡張後),66,2.2048098595586847
3D,19点モデル(拡張後),67,2.204570401204744
3D,19点モデル(拡張後),68,2.0524099425636835
3D,19点モデル(拡張後),69,2.072062030067394
3D,19点モデル(拡張後),70,2.10341252940245
3D,19点モデル(拡張後),71,2.0239004943845824
3D,19点モデル(拡張後),72,2.1280390970752827
3D,19点モデル(拡張後),73,1.9508352217172928
3D,19点モデル(拡張後),74,1.9625656400662073
3D,19点モデル(拡張後),75,1.9179631401715522
3D,19点モデル(拡張後),76,2.0020083720811575
3D,19点モデル(拡張後),77,1.9667588020217905
3D,19点モデル(拡張後),78,1.9486081552436363
