source,kind,joint,frame,angle_deg
2D,推定,right_elbow,5,72.47104876245332
2D,推定,right_elbow,6,77.10586628193327
2D,推定,right_elbow,7,79.84226924503511
2D,推定,right_elbow,8,93.10848888990782
2D,推定,right_elbow,9,93.83631269768466
2D,推定,right_elbow,10,90.93025231111248
2D,推定,right_elbow,11,92.43665557055238
2D,推定,right_elbow,12,89.76994918826006
2D,推定,right_elbow,13,104.27520414864499
2D,推定,right_elbow,14,108.23160914303487
2D,推定,right_elbow,15,116.5043233812433
2D,推定,right_elbow,16,108.90413425482323
2D,推定,right_elbow,17,101.10936235736412
2D,推定,right_elbow,18,100.76572300054673
2D,推定,right_elbow,19,110.51038514561115
2D,推定,right_elbow,20,98.16681955863265
2D,推定,right_elbow,21,109.10625601441711
2D,推定,right_elbow,22,95.80264485782259
2D,推定,right_elbow,23,97.24894932088068
2D,推定,right_elbow,24,65.69875657230425
2D,推定,right_elbow,25,87.65589768190162
2D,推定,right_elbow,26,99.68581172657841
2D,推定,right_elbow,27,125.41726370812073
2D,推定,right_elbow,28,135.4055297229083
2D,推定,right_elbow,29,139.61164629008744
2D,推定,right_elbow,30,151.9515858424156
2D,推定,right_elbow,31,176.858089609192
2D,推定,right_elbow,32,173.74761532802464
2D,推定,right_elbow,33,172.87667248950459
2D,推定,right_elbow,34,122.51245286311259
2D,推定,right_elbow,35,165.65895636995674
2D,推定,right_elbow,36,157.69403736482244
2D,推定,right_elbow,37,146.55446046418845
2D,推定,right_elbow,38,152.94717251774148
2D,推定,right_elbow,39,160.1523770934123
2D,推定,right_elbow,40,164.92778204296135
2D,推定,right_elbow,41,169.25795581222278
2D,推定,right_elbow,42,172.15351730161376
2D,推定,right_elbow,43,150.16478496349595
2D,推定,right_elbow,44,155.97565711190927
2D,推定,right_elbow,45,151.73053749995108
2D,推定,right_elbow,46,150.390532611197
2D,推定,right_elbow,47,160.30833984467415
2D,推定,right_elbow,48,154.60969176866894
2D,推定,right_elbow,49,160.65647475633213
2D,推定,right_elbow,50,153.76146861183807
2D,推定,right_elbow,51,161.47855243473919
2D,推定,right_elbow,52,167.90140782396412
2D,推定,right_elbow,53,177.4695898784818
2D,推定,right_elbow,54,174.8605236701543
2D,推定,right_elbow,55,179.23434543890878
2D,推定,right_elbow,56,159.71792313440898
2D,推定,right_elbow,57,175.06853656191376
2D,推定,right_elbow,58,164.28818120915383
2D,推定,right_elbow,59,171.36807035596243
2D,推定,right_elbow,60,172.9378174866056
2D,推定,right_elbow,61,178.1185051927616
2D,推定,right_elbow,62,161.51783293955583
2D,推定,right_elbow,63,162.10741910879827
2D,推定,right_elbow,64,162.2739755592295
2D,推定,right_elbow,65,156.99480729475192
2D,推定,right_elbow,66,146.45135302784215
2D,推定,right_elbow,67,143.7725594431941
2D,推定,right_elbow,68,129.2445110495318
2D,推定,right_elbow,69,129.56705025735772
2D,推定,right_elbow,70,147.4350346919223
